Value,test,year,month
224900,78702,2011,7
226600,78702,2011,8
228000,78702,2011,9
228700,78702,2011,10
228900,78702,2011,11
229000,78702,2011,12
229800,78702,2012,1
230900,78702,2012,2
231400,78702,2012,3
231200,78702,2012,4
230100,78702,2012,5
228500,78702,2012,6
227700,78702,2012,7
227700,78702,2012,8
228200,78702,2012,9
228800,78702,2012,10
229900,78702,2012,11
231800,78702,2012,12
234200,78702,2013,1
236400,78702,2013,2
237900,78702,2013,3
238200,78702,2013,4
238800,78702,2013,5
242100,78702,2013,6
247300,78702,2013,7
251700,78702,2013,8
254700,78702,2013,9
257300,78702,2013,10
259900,78702,2013,11
262400,78702,2013,12
265000,78702,2014,1
266900,78702,2014,2
268100,78702,2014,3
270100,78702,2014,4
273500,78702,2014,5
277600,78702,2014,6
282900,78702,2014,7
288100,78702,2014,8
291800,78702,2014,9
293600,78702,2014,10
294900,78702,2014,11
296500,78702,2014,12
299000,78702,2015,1
301200,78702,2015,2
303100,78702,2015,3
306500,78702,2015,4
311900,78702,2015,5
316700,78702,2015,6
319200,78702,2015,7
322300,78702,2015,8
328100,78702,2015,9
333900,78702,2015,10
336900,78702,2015,11
337000,78702,2015,12
336600,78702,2016,1
339000,78702,2016,2
344700,78702,2016,3
351200,78702,2016,4
356400,78702,2016,5
359700,78702,2016,6
362000,78702,2016,7
363900,78702,2016,8
365100,78702,2016,9
366500,78702,2016,10
370100,78702,2016,11
375200,78702,2016,12
379500,78702,2017,1
382500,78702,2017,2
384400,78702,2017,3
384300,78702,2017,4
383400,78702,2017,5
384400,78702,2017,6
386200,78702,2017,7
387800,78702,2017,8
389800,78702,2017,9
392800,78702,2017,10
395900,78702,2017,11
399900,78702,2017,12
404700,78702,2018,1
408800,78702,2018,2
412300,78702,2018,3
414500,78702,2018,4
307800,78703,1996,4
305000,78703,1996,5
303000,78703,1996,6
301600,78703,1996,7
300700,78703,1996,8
300400,78703,1996,9
300400,78703,1996,10
301000,78703,1996,11
301600,78703,1996,12
302700,78703,1997,1
304800,78703,1997,2
307900,78703,1997,3
311400,78703,1997,4
315300,78703,1997,5
319600,78703,1997,6
324400,78703,1997,7
329700,78703,1997,8
335400,78703,1997,9
341300,78703,1997,10
347000,78703,1997,11
352200,78703,1997,12
356900,78703,1998,1
361800,78703,1998,2
367000,78703,1998,3
371500,78703,1998,4
375100,78703,1998,5
377700,78703,1998,6
379000,78703,1998,7
379300,78703,1998,8
378900,78703,1998,9
377900,78703,1998,10
376800,78703,1998,11
375100,78703,1998,12
373600,78703,1999,1
373400,78703,1999,2
374600,78703,1999,3
376700,78703,1999,4
379900,78703,1999,5
384000,78703,1999,6
389100,78703,1999,7
395100,78703,1999,8
401600,78703,1999,9
408500,78703,1999,10
415500,78703,1999,11
422100,78703,1999,12
428400,78703,2000,1
435000,78703,2000,2
442000,78703,2000,3
448800,78703,2000,4
455100,78703,2000,5
460900,78703,2000,6
466100,78703,2000,7
470600,78703,2000,8
474500,78703,2000,9
478000,78703,2000,10
481100,78703,2000,11
483700,78703,2000,12
485900,78703,2001,1
488400,78703,2001,2
491500,78703,2001,3
494600,78703,2001,4
497200,78703,2001,5
499100,78703,2001,6
499800,78703,2001,7
499400,78703,2001,8
497800,78703,2001,9
495400,78703,2001,10
492000,78703,2001,11
487800,78703,2001,12
483100,78703,2002,1
478800,78703,2002,2
474900,78703,2002,3
470900,78703,2002,4
466700,78703,2002,5
462200,78703,2002,6
456900,78703,2002,7
451200,78703,2002,8
445100,78703,2002,9
438800,78703,2002,10
432200,78703,2002,11
425400,78703,2002,12
418000,78703,2003,1
409400,78703,2003,2
399900,78703,2003,3
390500,78703,2003,4
382900,78703,2003,5
377700,78703,2003,6
375200,78703,2003,7
375100,78703,2003,8
377400,78703,2003,9
382300,78703,2003,10
390100,78703,2003,11
401100,78703,2003,12
413900,78703,2004,1
426800,78703,2004,2
438200,78703,2004,3
447300,78703,2004,4
453600,78703,2004,5
457500,78703,2004,6
460000,78703,2004,7
461500,78703,2004,8
462200,78703,2004,9
462100,78703,2004,10
461200,78703,2004,11
459700,78703,2004,12
458400,78703,2005,1
458100,78703,2005,2
459200,78703,2005,3
461200,78703,2005,4
463700,78703,2005,5
466100,78703,2005,6
468200,78703,2005,7
470000,78703,2005,8
471600,78703,2005,9
472900,78703,2005,10
473900,78703,2005,11
474600,78703,2005,12
475200,78703,2006,1
476100,78703,2006,2
477900,78703,2006,3
481100,78703,2006,4
486100,78703,2006,5
492300,78703,2006,6
498900,78703,2006,7
505000,78703,2006,8
510000,78703,2006,9
513900,78703,2006,10
516900,78703,2006,11
518900,78703,2006,12
520200,78703,2007,1
521300,78703,2007,2
522200,78703,2007,3
523000,78703,2007,4
523600,78703,2007,5
523800,78703,2007,6
523500,78703,2007,7
523300,78703,2007,8
523400,78703,2007,9
523600,78703,2007,10
523600,78703,2007,11
523400,78703,2007,12
523100,78703,2008,1
522600,78703,2008,2
521900,78703,2008,3
520700,78703,2008,4
519000,78703,2008,5
516700,78703,2008,6
513300,78703,2008,7
509300,78703,2008,8
505100,78703,2008,9
501100,78703,2008,10
497100,78703,2008,11
493200,78703,2008,12
489600,78703,2009,1
486500,78703,2009,2
483200,78703,2009,3
479600,78703,2009,4
475400,78703,2009,5
471700,78703,2009,6
469400,78703,2009,7
468500,78703,2009,8
468500,78703,2009,9
468900,78703,2009,10
469200,78703,2009,11
469500,78703,2009,12
470000,78703,2010,1
470900,78703,2010,2
471400,78703,2010,3
471000,78703,2010,4
470200,78703,2010,5
469600,78703,2010,6
468900,78703,2010,7
468000,78703,2010,8
467400,78703,2010,9
467400,78703,2010,10
467700,78703,2010,11
468100,78703,2010,12
467500,78703,2011,1
465900,78703,2011,2
465400,78703,2011,3
465900,78703,2011,4
466100,78703,2011,5
465600,78703,2011,6
465000,78703,2011,7
464500,78703,2011,8
464800,78703,2011,9
465400,78703,2011,10
466100,78703,2011,11
466700,78703,2011,12
467700,78703,2012,1
468700,78703,2012,2
469800,78703,2012,3
471000,78703,2012,4
471800,78703,2012,5
471600,78703,2012,6
471900,78703,2012,7
472300,78703,2012,8
472100,78703,2012,9
471800,78703,2012,10
472300,78703,2012,11
473500,78703,2012,12
475800,78703,2013,1
478100,78703,2013,2
479300,78703,2013,3
481300,78703,2013,4
486800,78703,2013,5
494800,78703,2013,6
503600,78703,2013,7
511800,78703,2013,8
518700,78703,2013,9
524600,78703,2013,10
531500,78703,2013,11
537600,78703,2013,12
541600,78703,2014,1
545200,78703,2014,2
549400,78703,2014,3
551900,78703,2014,4
553000,78703,2014,5
554000,78703,2014,6
557100,78703,2014,7
563700,78703,2014,8
570400,78703,2014,9
574800,78703,2014,10
577700,78703,2014,11
581200,78703,2014,12
586700,78703,2015,1
594900,78703,2015,2
602200,78703,2015,3
613700,78703,2015,4
629000,78703,2015,5
643900,78703,2015,6
652600,78703,2015,7
660500,78703,2015,8
668400,78703,2015,9
674900,78703,2015,10
680000,78703,2015,11
687500,78703,2015,12
694800,78703,2016,1
700100,78703,2016,2
706200,78703,2016,3
712000,78703,2016,4
715700,78703,2016,5
719600,78703,2016,6
725500,78703,2016,7
732000,78703,2016,8
740100,78703,2016,9
745700,78703,2016,10
744700,78703,2016,11
741800,78703,2016,12
743100,78703,2017,1
748400,78703,2017,2
753900,78703,2017,3
758000,78703,2017,4
764500,78703,2017,5
774400,78703,2017,6
780500,78703,2017,7
776700,78703,2017,8
771000,78703,2017,9
773300,78703,2017,10
783100,78703,2017,11
790000,78703,2017,12
791300,78703,2018,1
791900,78703,2018,2
796300,78703,2018,3
798800,78703,2018,4
213100,78704,1996,4
212900,78704,1996,5
212800,78704,1996,6
212700,78704,1996,7
212600,78704,1996,8
212500,78704,1996,9
212800,78704,1996,10
213300,78704,1996,11
214200,78704,1996,12
215500,78704,1997,1
217300,78704,1997,2
219700,78704,1997,3
222500,78704,1997,4
225800,78704,1997,5
229300,78704,1997,6
233100,78704,1997,7
236800,78704,1997,8
240500,78704,1997,9
244000,78704,1997,10
247100,78704,1997,11
249600,78704,1997,12
251400,78704,1998,1
252400,78704,1998,2
252600,78704,1998,3
252100,78704,1998,4
250900,78704,1998,5
249000,78704,1998,6
246400,78704,1998,7
243500,78704,1998,8
240500,78704,1998,9
237300,78704,1998,10
234300,78704,1998,11
231300,78704,1998,12
228600,78704,1999,1
226300,78704,1999,2
224600,78704,1999,3
223400,78704,1999,4
223200,78704,1999,5
223900,78704,1999,6
225600,78704,1999,7
228400,78704,1999,8
232200,78704,1999,9
237000,78704,1999,10
242500,78704,1999,11
248600,78704,1999,12
254700,78704,2000,1
260500,78704,2000,2
266200,78704,2000,3
271500,78704,2000,4
276400,78704,2000,5
280900,78704,2000,6
284800,78704,2000,7
288200,78704,2000,8
290900,78704,2000,9
293000,78704,2000,10
294800,78704,2000,11
296300,78704,2000,12
297200,78704,2001,1
297800,78704,2001,2
298200,78704,2001,3
298400,78704,2001,4
298700,78704,2001,5
298900,78704,2001,6
299200,78704,2001,7
299500,78704,2001,8
299700,78704,2001,9
300000,78704,2001,10
300300,78704,2001,11
300400,78704,2001,12
300100,78704,2002,1
299300,78704,2002,2
298100,78704,2002,3
296500,78704,2002,4
294500,78704,2002,5
292200,78704,2002,6
289700,78704,2002,7
287300,78704,2002,8
285100,78704,2002,9
283400,78704,2002,10
281700,78704,2002,11
280400,78704,2002,12
279900,78704,2003,1
279700,78704,2003,2
278900,78704,2003,3
277300,78704,2003,4
275100,78704,2003,5
273000,78704,2003,6
271500,78704,2003,7
270300,78704,2003,8
269500,78704,2003,9
268500,78704,2003,10
267500,78704,2003,11
266700,78704,2003,12
266400,78704,2004,1
267200,78704,2004,2
269500,78704,2004,3
273500,78704,2004,4
278600,78704,2004,5
283800,78704,2004,6
288500,78704,2004,7
292200,78704,2004,8
295000,78704,2004,9
297300,78704,2004,10
299200,78704,2004,11
301000,78704,2004,12
302700,78704,2005,1
304100,78704,2005,2
305500,78704,2005,3
306800,78704,2005,4
308000,78704,2005,5
309100,78704,2005,6
310300,78704,2005,7
311500,78704,2005,8
312800,78704,2005,9
314300,78704,2005,10
316200,78704,2005,11
318500,78704,2005,12
321000,78704,2006,1
323500,78704,2006,2
325700,78704,2006,3
327700,78704,2006,4
329200,78704,2006,5
330700,78704,2006,6
332100,78704,2006,7
333800,78704,2006,8
335600,78704,2006,9
337200,78704,2006,10
338500,78704,2006,11
339100,78704,2006,12
339200,78704,2007,1
339100,78704,2007,2
338800,78704,2007,3
338700,78704,2007,4
339100,78704,2007,5
340100,78704,2007,6
341500,78704,2007,7
342700,78704,2007,8
343700,78704,2007,9
344400,78704,2007,10
345100,78704,2007,11
345600,78704,2007,12
345700,78704,2008,1
345400,78704,2008,2
344900,78704,2008,3
344000,78704,2008,4
342900,78704,2008,5
341300,78704,2008,6
339500,78704,2008,7
337700,78704,2008,8
335800,78704,2008,9
333900,78704,2008,10
332300,78704,2008,11
331000,78704,2008,12
329800,78704,2009,1
328500,78704,2009,2
327000,78704,2009,3
325400,78704,2009,4
323700,78704,2009,5
322000,78704,2009,6
320700,78704,2009,7
319700,78704,2009,8
318700,78704,2009,9
317900,78704,2009,10
317800,78704,2009,11
318400,78704,2009,12
318900,78704,2010,1
319300,78704,2010,2
319200,78704,2010,3
318900,78704,2010,4
319400,78704,2010,5
320700,78704,2010,6
321700,78704,2010,7
321500,78704,2010,8
320900,78704,2010,9
320500,78704,2010,10
320200,78704,2010,11
320400,78704,2010,12
320700,78704,2011,1
321200,78704,2011,2
322100,78704,2011,3
322900,78704,2011,4
322500,78704,2011,5
321400,78704,2011,6
321000,78704,2011,7
320400,78704,2011,8
319200,78704,2011,9
317900,78704,2011,10
318200,78704,2011,11
319300,78704,2011,12
320500,78704,2012,1
321500,78704,2012,2
321800,78704,2012,3
321900,78704,2012,4
322600,78704,2012,5
324000,78704,2012,6
325600,78704,2012,7
329100,78704,2012,8
337100,78704,2012,9
346500,78704,2012,10
351300,78704,2012,11
