Year,Month,Number of Households,Median Income (dollars),Zip Code
2016,11,17818,56665.5,75006
2016,12,17852,56577.0,75006
2011,1,18284,78660.0,75007
2011,2,18284,78660.0,75007
2011,3,18284,78660.0,75007
2011,4,18284,78660.0,75007
2011,5,18284,78660.0,75007
2011,6,18284,78660.0,75007
2011,7,18284,78660.0,75007
2011,8,18284,78660.0,75007
2011,9,18284,78660.0,75007
2011,10,18284,78660.0,75007
2011,11,18284,78660.0,75007
2011,12,18284,78660.0,75007
2012,1,18295,78771.66666666667,75007
2012,2,18307,78883.33333333333,75007
2012,3,18318,78995.0,75007
2012,4,18330,79106.66666666667,75007
2012,5,18341,79218.33333333333,75007
2012,6,18353,79330.0,75007
2012,7,18364,79441.66666666667,75007
2012,8,18376,79553.33333333333,75007
2012,9,18387,79665.0,75007
2012,10,18399,79776.66666666667,75007
2012,11,18410,79888.33333333333,75007
2012,12,18422,80000.0,75007
2013,1,18407,79911.16666666667,75007
2013,2,18393,79822.33333333333,75007
2013,3,18378,79733.5,75007
2013,4,18364,79644.66666666667,75007
2013,5,18349,79555.83333333333,75007
2013,6,18335,79467.0,75007
2013,7,18321,79378.16666666667,75007
2013,8,18306,79289.33333333333,75007
2013,9,18292,79200.5,75007
2013,10,18277,79111.66666666667,75007
2013,11,18263,79022.83333333333,75007
2013,12,18249,78934.0,75007
2014,1,18266,79005.0,75007
2014,2,18284,79076.0,75007
2014,3,18301,79147.0,75007
2014,4,18319,79218.0,75007
2014,5,18336,79289.0,75007
2014,6,18354,79360.0,75007
2014,7,18371,79431.0,75007
2014,8,18389,79502.0,75007
2014,9,18406,79573.0,75007
2014,10,18424,79644.0,75007
2014,11,18441,79715.0,75007
2014,12,18459,79786.0,75007
2015,1,18484,79533.25,75007
2015,2,18509,79280.5,75007
2015,3,18534,79027.75,75007
2015,4,18559,78775.0,75007
2015,5,18584,78522.25,75007
2015,6,18609,78269.5,75007
2015,7,18634,78016.75,75007
2015,8,18659,77764.0,75007
2015,9,18684,77511.25,75007
2015,10,18709,77258.5,75007
2015,11,18734,77005.75,75007
2015,12,18759,76753.0,75007
2016,1,18801,76897.58333333333,75007
