,OriginalZip,CalendarYearIssued,Issuedmonth,NewConstructionsCount,RemodelRepairsCount,NewConstructionDollarValue,RemodelRepairDollarValue
306,78652,2016,8,9,0,2926050,0
307,78652,2016,9,8,1,2883625,800
308,78652,2016,10,12,0,2798000,0
309,78652,2016,11,12,1,2707575,7000
310,78652,2016,12,6,0,1364725,0
311,78652,2017,1,11,0,2395050,0
312,78652,2017,2,2,0,514650,0
313,78652,2017,3,2,0,732000,0
314,78652,2017,4,7,0,3286200,0
315,78652,2017,5,11,0,2937000,0
316,78652,2017,6,6,0,1067620,0
317,78652,2017,7,12,0,2887820,0
318,78652,2017,8,25,0,4271767,0
319,78652,2017,9,16,0,3209655,0
320,78652,2017,10,16,0,5365367,0
321,78652,2017,11,19,0,4220870,0
322,78652,2017,12,18,0,3418235,0
323,78652,2018,1,12,2,3145855,38140
324,78652,2018,2,20,0,3907490,0
325,78652,2018,3,7,0,1143960,0
326,78652,2018,4,13,2,2213535,170000
327,78652,2018,5,11,0,2208495,0
328,78653,2000,6,1,0,98035,0
329,78653,2005,6,0,1,0,800
330,78653,2006,6,3,0,275970,0
331,78653,2006,8,4,0,358960,0
332,78653,2007,8,1,0,98990,0
333,78653,2016,1,1,0,158990,0
334,78653,2016,2,3,0,572326,0
335,78653,2016,3,13,14,2098463,0
336,78653,2016,4,4,0,587867,0
337,78653,2016,5,9,0,1301031,0
338,78653,2016,6,17,0,2673518,0
339,78653,2016,7,6,0,975253,0
340,78653,2016,8,14,0,2226616,0
341,78653,2016,9,2,0,358105,0
342,78653,2016,10,9,0,1001675,0
343,78653,2016,11,12,1,1536801,20000
344,78653,2016,12,7,0,751192,0
345,78653,2017,1,3,1,288000,13500
346,78653,2017,3,7,0,1340930,0
347,78653,2017,4,15,0,2487960,0
348,78653,2017,5,21,0,3319839,0
349,78653,2017,6,9,0,1420580,0
350,78653,2017,7,4,0,822330,0
351,78653,2017,8,8,0,1362750,0
352,78653,2017,9,8,0,1432582,0
353,78653,2017,10,9,0,1577690,0
354,78653,2017,11,5,0,793954,0
355,78653,2017,12,4,0,627028,0
356,78653,2018,2,7,0,1101092,0
357,78653,2018,3,37,0,5917168,0
358,78653,2018,4,15,0,4270320,0
359,78653,2018,5,19,0,3072459,0
360,78660,1996,1,2,0,161892,0
361,78660,1996,2,2,0,141630,0
362,78660,1996,3,3,0,167069,0
363,78660,1996,4,5,0,339534,0
364,78660,1996,5,7,0,445204,0
365,78660,1996,6,4,0,249058,0
366,78660,1996,8,3,0,190211,0
367,78660,1996,9,2,0,121142,0
368,78660,1996,10,1,1,74212,2300
369,78660,1996,11,1,0,65480,0
370,78660,1996,12,2,0,138566,0
371,78660,1997,2,4,0,248970,0
372,78660,1997,3,4,0,243432,0
373,78660,1997,4,3,0,189556,0
